id,date,content,username,likecount,retweetcount,replycount,typeofphone,languge
1602670248880230403,2022-12-13 14:22:18+00:00,"Le pire moment que j’ai suivi de ce procès : le procureur raconte l’histoire des femmes séquestrées puis violées dans le camp alpha yaya où vivait Capitaine Dadis. 
Le grand président du CNDD répond en rigolant 🤦🏾 😩 et évidement il n’était au courant de rien #ProcesDu28Sept",bahibrah,1,0,1,Twitter for iPhone,fr
1602666266946408459,2022-12-13 14:06:28+00:00,"Mais Dadis s’énerve pour quoi même ? 😂😂
#ProcesDu28Sept",Papino_DDiop,1,0,0,Twitter for iPhone,fr
1602660731442307072,2022-12-13 13:44:29+00:00,J'suis président de la République mon aide de camp à foutu le bordel il va être arrêté même j'vais déployé toutes l'armée du pays mais on va le mettre aux arrêts  #ProcesDu28Sept,Sybyoulpac1,0,0,0,Twitter for Android,fr
1602658074740793345,2022-12-13 13:33:55+00:00,"Hummm!Dadis n’était au courant de rien, n’a jamais assisté à un conseil des ministres, n’a pas reçu de compte rendu des commissions, n’a pas fait arrêter Toumba par peur, n’a pas entendu parler des viols et pillages WOW!! C’etait ça le Président?? Pauvre Guinée!#ProcesDu28Sept",AbidjanaiseL,1,0,1,Twitter for iPhone,fr
1602657742358970368,2022-12-13 13:32:36+00:00,"#Guinee #ProcesDu28Sept
Procès 28 septembre 2009. Dadis Camara, regardé par le procureur Algassimou Diallo https://t.co/0AhiPB1o6o via @Woulanews",woulanews,0,0,0,Twitter for Android,fr
1602656957999058945,2022-12-13 13:29:29+00:00,"Pillages lors des événements du 28 septembre : « je n’ai pas été informé », dit Dadis Camara
#Kibaro #ProcesDu28Sept https://t.co/nmYVhOe2Af",Guineematin,0,0,0,Twitter for Android,fr
1602656565282086912,2022-12-13 13:27:55+00:00,"Affaire des recrues de #Kaleya : #Dadis_Camara charge Sékouba Konaté et sollicite sa comparution
#Kibaro #ProcesDu28Sept https://t.co/saH1Wju6J3",Guineematin,5,0,0,Twitter for Android,fr
1602652934344527878,2022-12-13 13:13:30+00:00,"🔴 Face au feu roulant de questions du procureur, Dadis a multiplié les coups de colère. L'ancien chef de la junte a fini par perdre sa voix ⚖📢✅ #ProcesDu28Sept https://t.co/doWMzbQA6b",guineeinfos_com,5,0,0,Twitter for Android,fr
1602652443246034944,2022-12-13 13:11:32+00:00,"Dadis je commence déjà à avoir pitié de lui il va prendre perpétuité
#ProcesDu28Sept",Sybyoulpac1,1,0,0,Twitter for Android,fr
1602648671946002435,2022-12-13 12:56:33+00:00,"Pourtant, le sourire se lisait aux visages #ProcesDu28Sept #Kibaro https://t.co/tW9bV4W6dY",cireass,3,0,0,Twitter for Android,fr
